"network","station","name","state","county","lat","lon","area.km2","date.start","date.end","station.keep","n.yrs","n.days.missing","n.days.total","n.days.noflow","prc.days.noflow","BFI.mean","BFI.max","BFI.max.mo","BFI.min","BFI.min.mo","BF.ann.mm_y","Q90.mm_d","Q7day.mm_d","Qmo.min.mm_d","Qmo.min.mo","Qann.mm_y","dQ_dt.slope"
"CANOPEX","10BE007","'TROUT RIVER AT KILOMETRE 783.7 ALASKA HIGHWAY'","BC","Canada",59.33597183,-125.9402466,1164.85,"1970-10-01","2010-12-31",TRUE,40,0,14337,0,0,0.776257210852302,0.998612969847567,3,0.275742792431605,6,262.599956476137,0.422,0.407172857142857,0.43484888337469,3,443.119682293499,1.92750993940205
"CANOPEX","10AC003","'DEASE RIVER AT OUTLET OF DEASE LAKE'","BC","Canada",58.81388855,-130.0833282,1516.86,"1956-10-01","1984-12-31",TRUE,25,0,8858,0,0,0.756948368388592,1,3,0.223629039295469,6,153.394040027213,0.1709,0.156056,0.16667125,4,321.656199361357,1.43391276714103
"CANOPEX","10BE004","'TOAD RIVER ABOVE NONDA CREEK'","BC","Canada",58.85496902,-125.3826065,2442.8,"1961-07-01","2010-12-31",TRUE,48,0,17351,0,0,0.711126960842809,0.999678708757633,2,0.197973693976473,6,256.910127413664,0.2773,0.261502083333333,0.280891146190803,3,556.436074659275,1.63855557890577
"CANOPEX","08CD001","'TUYA RIVER NEAR TELEGRAPH CREEK'","BC","Canada",58.07221985,-130.824173,3413.03,"1965-01-01","2010-12-31",TRUE,44,0,16071,0,0,0.74714827396757,0.999165623943719,2,0.162646960355587,5,134.902317112596,0.1468,0.140986688311688,0.160232551319648,3,339.907744368463,1.65494973477098
"CANOPEX","07MA003","'DOUGLAS RIVER NEAR CLUFF LAKE'","SK","Canada",58.32221985,-109.7861099,1678.11,"1975-08-16","2010-12-31",TRUE,35,15,12572,0,0,0.843023599232983,0.98180372768636,2,0.516032098432904,5,137.927451130932,0.2667,0.261816326530612,0.312798671726755,3,180.623859229791,2.14428689994326
"CANOPEX","07LB002","'WATERFOUND RIVER BELOW THERIAU LAKE'","SK","Canada",58.3861084,-104.6083298,2935.46,"1975-01-01","2010-12-31",TRUE,35,0,12784,0,0,0.917362215123935,0.990230406334722,3,0.805757337607675,6,206.930009591206,0.4533,0.471268571428571,0.534801198156682,3,229.002008606096,0
"CANOPEX","08CG003","'ISKUT RIVER AT OUTLET OF KINASKAN LAKE'","BC","Canada",57.53055954,-130.1791687,1291.04,"1965-01-01","1995-12-31",TRUE,29,0,10591,0,0,0.70499208613079,0.992605771620063,2,0.21250567704172,6,209.557347790567,0.2222,0.202756157635468,0.240166184649611,3,420.420536742265,1.35397854703992
"CANOPEX","07EA002","'KWADACHA RIVER NEAR WARE'","BC","Canada",57.45000076,-125.6374969,2322.33,"1962-01-01","1998-12-31",TRUE,33,0,12054,0,0,0.682761168539526,1,2,0.224107076592734,6,301.991287212993,0.2348,0.213946753246753,0.232578005865103,3,690.908113465848,1.40146782137796
"CANOPEX","06FD002","'DEER RIVER NORTH OF BELCHER'","MB","Canada",58.01353073,-94.19805908,1848.56,"1978-01-01","2010-12-31",TRUE,20,0,7306,0,0,0.717590132305506,0.999469401169305,3,0.31186018617058,5,83.4029046879708,0.02055,0.024665,0.0291122580645161,3,261.903528816254,1.51851393987787
"CANOPEX","07CD006","'CLEARWATER RIVER AT OUTLET OF LLOYD LAKE'","SK","Canada",57.33055878,-108.7638931,4163.15,"1974-01-01","1995-05-31",TRUE,22,0,7821,0,0,0.86769960341951,0.997890697747962,2,0.528337138496346,5,144.157230428194,0.3051,0.300531168831169,0.321945747800586,3,174.284263944831,0.325929465631907
"CANOPEX","06FB002","'LITTLE BEAVER RIVER NEAR THE MOUTH'","MB","Canada",57.65327835,-95.66385651,4086.57,"1974-01-01","2010-12-31",TRUE,35,0,12784,0,0,0.70428831773662,0.997852662562175,2,0.262824603276135,5,86.4233512916648,0.0302,0.0327926530612245,0.0440071889400922,3,230.698077700419,1.42068916796378
"CANOPEX","07EA007","'AKIE RIVER NEAR THE 760 M CONTOUR'","BC","Canada",57.1911087,-124.8988876,1619.2,"1981-01-01","2010-12-31",TRUE,27,0,9861,0,0,0.698752807844839,0.999983878028689,2,0.225585400113459,5,258.816900724932,0.2129,0.186788888888889,0.211750059737157,3,606.538325721785,1.79040764339554
"CANOPEX","08CC001","'KLAPPAN RIVER NEAR TELEGRAPH CREEK'","BC","Canada",57.90000153,-129.7038879,3366.9,"1965-01-01","1995-12-31",TRUE,31,0,11322,0,0,0.688023175334246,0.997636198159938,2,0.198872081252602,6,289.049571861605,0.2325,0.220820737327189,0.247459833506764,3,677.681995148387,1.54279469585081
"CANOPEX","06DA005","'WHEELER RIVER BELOW RUSSELL LAKE'","SK","Canada",57.47777939,-104.9972229,2725.36,"1973-10-14","2010-12-31",TRUE,35,13,12510,0,0,0.889882134004364,0.983219453007532,3,0.682818654813234,5,173.181795188352,0.3551,0.377492244897959,0.445440132827324,3,199.68741355481,1.91154051947733
"CANOPEX","08CG005","'MORE CREEK NEAR THE MOUTH'","BC","Canada",57.0408287,-130.4013824,856.518,"1974-01-01","1994-12-31",FALSE,19,0,6939,0,0,0.660997035126606,0.995909900681394,2,0.231740688889184,6,762.445917520119,0.5316,0.474002255639098,0.605101697792869,3,1823.19834387274,1.68776666586298
"CANOPEX","07DA008","'MUSKEG RIVER NEAR FORT MACKAY'","AB","Canada",57.19120026,-111.570137,1397.15,"1974-01-01","1986-12-31",FALSE,13,0,4748,0,0,0.688175322802723,0.999222491603544,2,0.332900564436826,5,28.5637678976317,0.0143,0.0120967032967033,0.018250136239782,2,81.7877884300985,1.32673240906169
"CANOPEX","10CB001","'SIKANNI CHIEF RIVER NEAR FORT NELSON'","BC","Canada",57.23416901,-122.6941681,2125.09,"1960-01-01","2010-12-31",TRUE,49,0,17897,0,0,0.70704667105526,0.994661402733128,2,0.256678769832479,6,167.965346720652,0.1691,0.157025072886297,0.179946280447663,3,380.795894331721,1.75668513802686
"CANOPEX","03MB001","'FALSE (RIVIERE)'","QC","Canada",57.67082977,-68.26999664,2180.75,"1973-01-01","1991-12-31",FALSE,16,0,5843,0,0,0.746559442589448,1,3,0.307053193643716,6,186.189226869479,0.12,0.123855357142857,0.13553,4,445.828231998337,1.6326753400434
"CANOPEX","05UH002","'WEIR RIVER ABOVE THE MOUTH'","MB","Canada",57.02305984,-93.45305634,2179.03,"1978-01-01","2010-12-31",TRUE,26,0,9497,0,0,0.721211567823768,0.998819577601834,3,0.260204532248583,5,86.6793405552954,0.0348,0.0305697802197802,0.0386289081885856,3,230.972190457875,1.60790101687478
"CANOPEX","07EA004","'INGENIKA RIVER ABOVE SWANNELL RIVER'","BC","Canada",56.72999954,-125.1029968,3964.69,"1978-01-01","2010-12-31",TRUE,33,0,12053,0,0,0.730973699474433,0.999773991832674,2,0.222354728462216,6,202.696730505958,0.2245,0.197552380952381,0.228091593352884,3,464.713908869814,1.65955623654761
"CANOPEX","07FC003","'BLUEBERRY RIVER BELOW AITKEN CREEK'","BC","Canada",56.67721939,-121.2208328,1701.86,"1965-01-01","2010-12-31",TRUE,44,0,16070,357,2.22,0.682858060059102,0.967146111422116,12,0.214979335514688,4,17.0778729504061,0.0021,0.00171038961038961,0.0034341384863124,2,97.4236558776168,1.32751734005917
"CANOPEX","07EB002","'OSPIKA RIVER ABOVE ALEY CREEK'","BC","Canada",56.52833176,-123.9333267,2058.21,"1981-01-01","2010-12-31",TRUE,30,0,10957,0,0,0.717895818106263,0.998314180992667,2,0.198306022057396,5,258.610913792072,0.2519,0.22813,0.250422688172043,3,621.538724380165,1.78010490087061
"CANOPEX","05UG001","'LIMESTONE RIVER NEAR BIRD'","MB","Canada",56.51258087,-94.21617126,3146.5,"1963-06-13","2010-12-31",TRUE,35,12,12633,0,0,0.738230873100599,0.998840615664614,2,0.287398851052433,5,84.7988896710615,0.053,0.0531440816326531,0.0630728652751423,3,212.699497117505,1.73265267942848
"CANOPEX","07FA005","'GRAHAM RIVER ABOVE COLT CREEK'","BC","Canada",56.45861053,-122.3561096,2226.27,"1981-01-01","2010-12-31",TRUE,28,0,10226,0,0,0.723556531977157,0.998724345728946,2,0.259329991709872,6,150.112495583887,0.1708,0.156332142857143,0.183712442396313,3,341.045998200723,1.79112535577144
"CANOPEX","06BD001","'HAULTAIN RIVER ABOVE NORBERT RIVER'","SK","Canada",56.24443817,-106.5611115,3697.8,"1969-01-01","2010-12-31",TRUE,40,0,14610,0,0,0.783600446323309,0.99684873164269,2,0.371694804497258,5,102.407097002891,0.1561,0.149428928571429,0.175293790322581,3,157.046173561947,1.89039219517589
"CANOPEX","08DD001","'UNUK RIVER NEAR STEWART'","BC","Canada",56.35139084,-130.6916656,1425.79,"1967-01-01","1996-03-31",TRUE,30,0,10683,0,0,0.659756239800139,0.963941972371893,2,0.29134102413969,6,1083.04296990466,0.7878,0.65855,1.04810322580645,3,2315.25005676318,1.48512756914851
"CANOPEX","07CD004","'HANGINGSTONE RIVER AT FORT MCMURRAY'","AB","Canada",56.70896912,-111.3563766,870.927,"1970-01-01","1986-12-31",FALSE,16,0,5844,0,0,0.690147657120381,1,2,0.326523875679819,4,49.4861762302224,0.0208,0.0179151785714286,0.0227696902654867,2,144.043632577434,1.61593597387191
"CANOPEX","07EC003","'MESILINKA RIVER ABOVE GOPHERHOLE CREEK'","BC","Canada",56.24388885,-124.6433334,2852.1,"1976-01-01","2010-12-31",TRUE,35,0,12784,0,0,0.721216604283547,1,2,0.223995453707196,6,211.25697505829,0.2178,0.197568163265306,0.223488294930876,3,494.901761961577,1.72885440622853
"CANOPEX","06EA007","'PAGATO RIVER AT OUTLET OF PAGATO LAKE'","SK","Canada",56.11193848,-102.5097198,904.763,"1973-10-10","1995-06-30",TRUE,23,9,7943,203,2.56,0.727611631019332,0.904885715402249,3,0.43812172779967,5,95.8253301138994,0.1366,0.125641614906832,0.166380498533724,3,163.239447171928,1.17061892074562
"CANOPEX","07FD008","'HINES CREEK NEAR FAIRVIEW'","AB","Canada",56.06806183,-118.6597214,1165.2,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","05UH001","'ANGLING RIVER NEAR BIRD'","MB","Canada",56.67694092,-93.64111328,1511.8,"1979-01-01","2010-12-31",TRUE,22,23,8036,0,0,0.707103757058034,1,2,0.237791907065322,5,81.8368645281664,0.0282,0.028861038961039,0.0384193548387097,3,240.001149776336,1.43039165865232
"CANOPEX","05UF004","'KETTLE RIVER NEAR GILLAM'","MB","Canada",56.34156036,-94.69664764,1092.77,"1966-01-01","2010-12-31",TRUE,39,0,14244,1,0.01,0.698491036632607,0.99956666022357,2,0.209252012819543,5,147.195158561998,0.056,0.0424029304029304,0.0620736145574855,3,379.673640543562,1.27742000985331
"CANOPEX","07EC004","'OSILINKA RIVER NEAR END LAKE'","BC","Canada",56.12667084,-124.8013916,1856.24,"1981-01-01","2010-12-31",TRUE,30,0,10957,0,0,0.731238817277246,1,2,0.202919287450197,5,246.229063464847,0.2746,0.252942380952381,0.277361935483871,3,608.520546170799,1.71331403063526
"CANOPEX","05TF002","'FOOTPRINT RIVER ABOVE FOOTPRINT LAKE'","MB","Canada",55.93111038,-98.88639069,616.578,"1978-01-01","2010-12-31",TRUE,21,9,7670,0,0,0.77217998321672,0.973170941056747,3,0.420889703620179,5,96.5919980162811,0.1167,0.128242857142857,0.195484792626728,3,159.989311941873,1.34703624178716
"CANOPEX","06CE001","'FOSTER RIVER ABOVE CHURCHILL RIVER'","SK","Canada",55.82500076,-105.7555618,4329.75,"1973-01-01","1994-12-31",TRUE,22,0,8035,0,0,0.809543255357672,0.999581135702382,3,0.400559740759164,5,89.1552912520916,0.1333,0.144652597402597,0.161097653958944,3,137.905085397453,2.20735691816305
"CANOPEX","07FB008","'MOBERLY RIVER NEAR FORT ST. JOHN'","BC","Canada",56.09305954,-121.3469391,1439.86,"1980-01-01","2010-12-31",TRUE,31,0,11323,0,0,0.691113258191175,0.986452167537942,1,0.161825975195951,5,89.5664161262957,0.063,0.0580930875576037,0.0897353881278539,2,248.216932803064,1.48096704043116
"CANOPEX","07JA003","'WILLOW RIVER NEAR WABASCA'","AB","Canada",55.91667175,-113.9213028,1059.86,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","07FD006","'SADDLE RIVER NEAR WOKING'","AB","Canada",55.64434814,-118.7002335,486.586,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","08EB004","'KISPIOX RIVER NEAR HAZELTON'","BC","Canada",55.43360901,-127.7141724,1836.81,"1967-01-01","2010-12-31",TRUE,44,0,16071,0,0,0.69351007940165,0.985114884202656,1,0.249154894617315,5,347.957450834461,0.2799,0.248144805194805,0.361046741753821,2,774.598915587289,1.65185790030214
"CANOPEX","06BA002","'DILLON RIVER BELOW DILLON LAKE'","SK","Canada",55.70972061,-109.3855591,2317.48,"1973-01-01","2010-12-31",TRUE,37,0,13514,0,0,0.688784768381514,0.990695037431574,2,0.275981798895486,5,55.3589512646349,0.0347,0.0310610038610039,0.0445336530078466,3,115.830159105134,1.04960028023413
"CANOPEX","07FD007","'POUCE COUPE RIVER BELOW HENDERSON CREEK'","BC","Canada",55.86471939,-120.0294418,2975.59,"1971-04-15","2010-12-31",TRUE,36,14,13059,103,0.79,0.698603343323674,0.962746942376299,2,0.203933649173044,4,12.274600305958,0.0016,0.00200079365079365,0.00673852534562212,1,67.5216701434715,1.3221740885243
"CANOPEX","05TG002","'TAYLOR RIVER NEAR THOMPSON'","MB","Canada",55.48984909,-98.19207764,860.003,"1972-01-01","2010-12-31",TRUE,32,14,11689,0,0,0.715830182444887,0.978330760708392,3,0.242252256306669,5,77.8419094128286,0.0523,0.0424424107142857,0.0845639112903226,3,185.58732676314,1.52028161075543
"CANOPEX","07GD002","'BEAVERTAIL CREEK NEAR HYTHE'","AB","Canada",55.31616974,-119.6425476,663.846,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","07ED001","'NATION RIVER NEAR FORT ST. JAMES'","BC","Canada",55.20000076,-124.2333298,4130.88,"1967-01-01","1995-12-31",TRUE,28,0,10227,0,0,0.749150504963002,0.999477845247933,2,0.185141834899845,5,175.89796481389,0.228,0.215092346938775,0.247916935483871,3,435.050566118837,1.42531865683832
"CANOPEX","07FD001","'KISKATINAW RIVER NEAR FARMINGTON'","BC","Canada",55.9569397,-120.5625,3459.38,"1966-01-01","2010-12-31",TRUE,45,0,16436,9,0.05,0.708774119351713,0.985041780417749,1,0.27860668024458,5,27.1531071972989,0.012,0.0112403174603175,0.0208082612116444,2,95.6326268694816,1.37414110847809
"CANOPEX","07FB003","'SUKUNKA RIVER NEAR THE MOUTH'","BC","Canada",55.54278183,-121.6244431,2591.62,"1977-08-05","2010-12-31",TRUE,34,4,12206,0,0,0.714783850868519,0.996029480841624,2,0.16631885083876,5,244.959628411232,0.2277,0.213069327731092,0.273812446351931,2,666.083147678399,1.73411618959667
"CANOPEX","06BB004","'KEELEY RIVER AT OUTLET OF KEELEY LAKE'","SK","Canada",54.91833115,-108.0536118,948.943,"1973-01-01","1995-06-30",TRUE,21,0,7486,0,0,0.791527370884766,0.927313928586893,2,0.574888757878349,5,59.1561027979546,0.052,0.0920884353741497,0.136117511520737,3,82.5612258178752,1.27141322287727
"CANOPEX","08EG006","'KITSUMKALUM RIVER NEAR TERRACE'","BC","Canada",54.5819397,-128.6602783,2267.08,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","03EC001","'DENYS (RIVIERE) PRES DE LA GRANDE RIVIERE DE LA BALEINE'","QC","Canada",55.0083313,-77.06388855,4389.08,"1962-01-01","1993-09-21",TRUE,32,9,11596,0,0,0.74754759044386,1,3,0.343805083930622,5,276.860195633993,0.2953,0.277539732142857,0.31307872983871,3,498.709624426576,1.52311975111746
"CANOPEX","07FB006","'MURRAY RIVER ABOVE WOLVERINE RIVER'","BC","Canada",55.06528091,-121.0124969,2323.32,"1978-01-01","2010-12-31",TRUE,33,0,12053,0,0,0.71970364854213,0.999789845748314,2,0.198661703616942,5,345.548091248781,0.3421,0.318177489177489,0.383194527896996,2,773.783134659904,1.447198587203
"CANOPEX","05TB002","'GRASS RIVER AT WEKUSKO FALLS'","MB","Canada",54.78889084,-99.96943665,3115.2,"1958-01-01","1991-12-31",TRUE,34,0,12418,0,0,0.8478450246963,0.974360702086123,3,0.632308649750943,6,90.7853807266233,0.1273,0.175384033613445,0.221460815939279,3,113.953470416667,1.39583700161918
"CANOPEX","07EE007","'PARSNIP RIVER ABOVE MISINCHINKA RIVER'","BC","Canada",55.07806015,-122.9047165,4691.29,"1967-10-13","2010-12-31",TRUE,43,12,15433,0,0,0.718013227301371,0.983625265356403,2,0.205360282070369,5,421.988540146343,0.4752,0.428589700996678,0.581267059814659,2,985.775603491061,1.61925340719443
"CANOPEX","06AG002","'DORE RIVER NEAR THE MOUTH'","SK","Canada",54.93027878,-107.7436066,2919.4,"1972-01-01","2010-12-31",TRUE,36,0,13150,134,1.02,0.698180745881984,0.930906097827256,1,0.310632848245805,5,19.2784638898778,0.0021,0.0214944444444444,0.0393328853046595,1,33.702295279415,0.59542896613876
"CANOPEX","07BC006","'DAPP CREEK AT HIGHWAY NO. 44'","AB","Canada",54.30820084,-113.8488998,585.521,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","07GG001","'WASKAHIGAN RIVER NEAR THE MOUTH'","AB","Canada",54.75201035,-117.2057037,1003.85,"1971-01-01","2010-12-31",TRUE,40,0,14610,59,0.4,0.703960009255226,0.963194354382298,1,0.245257891253068,4,42.4626675058382,0.0258,0.0211707142857143,0.0342382300884956,2,144.666225442478,1.54217363114748
"CANOPEX","05KF001","'BALLANTYNE RIVER ABOVE BALLANTYNE BAY'","SK","Canada",54.56111145,-103.9416733,1838.22,"1973-01-01","1995-12-31",TRUE,22,0,8035,0,0,0.70979355711897,0.991752023956185,2,0.269408227714478,5,62.3482532808947,0.0475,0.0432,0.065362962962963,2,141.564444781145,1.32868124852481
"CANOPEX","07EE010","'PACK RIVER AT OUTLET OF MCLEOD LAKE'","BC","Canada",54.99583054,-123.0355606,3576.42,"1981-01-01","2010-12-31",TRUE,30,0,10957,0,0,0.739337377926193,0.973306018666593,9,0.233953463743467,5,166.178348350342,0.2464,0.211039523809524,0.298230333333333,9,377.037155261708,1.37890706556636
"CANOPEX","07GG003","'IOSEGUN RIVER NEAR LITTLE SMOKY'","AB","Canada",54.74517822,-117.1521606,1909.96,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","08EE013","'BUCK CREEK AT THE MOUTH'","BC","Canada",54.39778137,-126.6511078,571.748,"1973-01-01","2010-12-31",TRUE,37,0,13513,7,0.05,0.707495491608579,0.98053953504026,1,0.153640952817138,5,63.9449983278864,0.0452,0.0387733590733591,0.0690240421455939,2,238.861778585482,1.53074469572494
"CANOPEX","08KC001","'SALMON RIVER NEAR PRINCE GEORGE'","BC","Canada",54.0961113,-122.6780624,4250.59,"1953-04-01","2007-12-31",TRUE,48,10,17441,0,0,0.729125395332098,0.949219847298392,2,0.250814569643409,5,79.3304143212645,0.0939,0.0854142857142857,0.156369440559441,9,216.685498662992,1.37435239174689
"CANOPEX","08EF005","'ZYMOETZ RIVER ABOVE O.K. CREEK'","BC","Canada",54.48332977,-128.3305664,2879.41,"1963-09-04","2010-12-31",TRUE,48,3,17289,0,0,0.705868954774034,0.961376686091901,2,0.253464916503895,5,552.386568883718,0.4981,0.418383928571429,0.683731475903614,2,1152.44310710268,1.57128542958746
"CANOPEX","05EC004","'NAMEPI CREEK NEAR THE MOUTH'","AB","Canada",54.02972031,-112.8455582,737.663,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","08FF001","'KITIMAT RIVER BELOW HIRSCH CREEK'","BC","Canada",54.04858017,-128.6903534,1944.58,"1967-01-01","2010-12-31",TRUE,44,0,16071,0,0,0.719476296913701,0.846934081048568,2,0.442798249956706,5,1127.52538299672,1.364,0.946557467532468,2.67022778592375,3,2126.96215082462,1.75753738944781
"CANOPEX","03PB002","'NASKAUPI RIVER BELOW NASKAUPI LAKE'","NL","Canada",54.13191986,-61.42681122,4624.17,"1978-01-01","2010-12-31",TRUE,29,0,10592,0,0,0.762013787803488,0.998378839542764,2,0.335089965106486,5,313.894357984982,0.3774,0.359367487684729,0.409102780867631,3,613.858234217507,1.68366741919119
"CANOPEX","05KE010","'WHITE GULL CREEK AT HIGHWAY NO. 106'","SK","Canada",53.86497116,-104.6196365,626.095,"1994-01-01","2010-12-31",FALSE,17,0,6209,0,0,0.704893245985675,0.988717238098222,2,0.33746809521792,5,42.9622178524776,0.02838,0.026763025210084,0.0387472916666667,2,98.8230653431373,1.44445573755347
"CANOPEX","08JB002","'STELLAKO RIVER AT GLENANNAN'","BC","Canada",54.00753021,-125.0088882,3883.62,"1951-01-01","2010-12-31",TRUE,59,0,21549,0,0,0.758593675271654,0.986273800838289,3,0.31674095561941,5,91.392304397806,0.1208,0.120434382566586,0.15874581738655,3,168.442434282866,1.40801403125012
"CANOPEX","08KB003","'MCGREGOR RIVER AT LOWER CANYON'","BC","Canada",54.23117065,-121.6687469,4609.31,"1961-01-01","2010-12-31",TRUE,50,0,18262,0,0,0.703979623325366,0.98397304504982,2,0.238344357914839,5,706.480622841034,0.6055,0.553258857142857,0.744070750708215,2,1466.44153501983,1.59758055991055
"CANOPEX","08ED001","'NANIKA RIVER AT OUTLET OF KIDPRICE LAKE'","BC","Canada",53.93056107,-127.4527817,703.828,"1951-01-01","2010-12-31",TRUE,38,0,13879,0,0,0.718535311601898,0.992514136306845,3,0.238646651440856,5,633.04348240854,0.5831,0.55784022556391,0.687328268251273,3,1289.63363680532,1.64191093056223
"CANOPEX","08FE003","'KEMANO RIVER ABOVE POWERHOUSE TAILRACE'","BC","Canada",53.56943893,-127.9444427,536.577,"1972-01-01","2010-12-31",TRUE,39,0,14245,0,0,0.676860112254813,0.915948759150839,2,0.310339775777127,5,1233.44103250112,0.8164,0.617512087912088,1.57171451905626,2,2685.19174243101,1.4065779093496
"CANOPEX","05EF004","'MONNERY RIVER NEAR PARADISE HILL'","SK","Canada",53.54111099,-109.5272217,891.78,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","06AD010","'MEADOW RIVER BELOW MEADOW LAKE'","SK","Canada",54.1361084,-108.3944397,3278.45,"1958-04-01","1995-12-31",FALSE,18,0,6484,756,11.66,0.574346351474954,1.05463372601461,11,0.230027997885115,5,8.38983312448885,0,0.00164206349206349,0.00327458333333333,2,23.8628144771242,0.841825986203967
"CANOPEX","08JA005","'TAHTSA RIVER NEAR OOTSA LAKE'","BC","Canada",53.75556183,-126.6999969,1389.08,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","07BB003","'LOBSTICK RIVER NEAR STYAL'","AB","Canada",53.61249924,-115.1055603,1520.39,"1956-01-01","1986-12-31",TRUE,31,0,11323,326,2.88,0.705040433583777,0.818120251387449,2,0.401034786068226,4,50.536120606045,0.02646,0.0350230414746544,0.0798376712328767,2,94.1017096332302,0.873828047453637
"CANOPEX","05KE006","'BISSET CREEK NEAR CHOICELAND'","SK","Canada",53.45306015,-104.5686111,589.902,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
